"sound.files","duration","selec","start","end"
"Parus-major-524612.wav",0.0842635020948492,72,53.8300013422878,53.9142648443826
"Parus-major-524612.wav",0.146395363165858,73,54.1108645653628,54.2572599285287
"Parus-major-524612.wav",0.0606806059219096,74,54.379890988628,54.4405715945499
"Parus-major-524612.wav",0.144717349399713,75,54.6523641428722,54.7970814922719
"Parus-major-524612.wav",0.0735151436467945,76,54.9482387863958,55.0217539300426
"Parus-major-524612.wav",0.1522910872091,77,55.2645670571771,55.4168581443862
"Parus-major-524612.wav",0.0827215434989199,78,55.5380379493363,55.6207594928353
"Parus-major-524612.wav",0.145261570080621,79,55.8231642344119,55.9684258044925
"Parus-major-524612.wav",0.0771886332429617,80,56.1178143814034,56.1950030146463
"Parus-major-524612.wav",0.0614062334964629,81,59.4120275146992,59.4734337481956
